file, line, token_snippet
public/overlay.svg,9,"<text ... font-size=\"90\" fill=\"#0e0e0e\">Teenique</text>"
public/overlay.svg,10,"<text ... font-size=\"56\" fill=\"#0e0e0e\">Elegance Redefined for GenZ</text>"
src/pages/Index.tsx,85,"<h1 class=\"text-4xl md:text-6xl font-extrabold ...\">"
src/pages/Index.tsx,112,"<h2 class=\"text-2xl md:text-4xl font-bold ...\">"
src/pages/Index.tsx,123,"<Button ... class=\"... px-8 py-4 text-xl ...\">"
src/pages/Index.tsx,142,"<span class=\"text-3xl md:text-4xl font-extrabold\">"
src/pages/Index.tsx,143,"<span class=\"text-lg md:text-xl font-semibold\">"
src/pages/Index.tsx,156,"<h2 class=\"text-4xl md:text-5xl font-semibold\">"
src/pages/Index.tsx,168,"<h2 class=\"text-3xl md:text-4xl font-bold\">"
src/pages/Index.tsx,184,"<Button ... class=\"border-2 ... text-[#0F0F0F] ...\">"
src/pages/StyleGallery.tsx,30,"<h1 class=\"text-5xl md:text-6xl lg:text-7xl font-serif ...\">"
src/pages/StyleGallery.tsx,33,"<p class=\"text-lg ...\">"
src/pages/Collections.tsx,88,"<h1 class=\"text-5xl md:text-6xl lg:text-7xl ...\">"
src/pages/Collections.tsx,120,"class=\"bg-orange-500 ... text-lg px-12 py-6 rounded-full ...\""
src/pages/ProductDetails.tsx,53,"<h1 class=\"text-4xl font-bold ...\">"
src/pages/ProductDetails.tsx,60,"<span class=\"text-3xl font-semibold ...\">"
src/pages/ProductDetails.tsx,61,"<span class=\"text-sm text-muted-foreground\">"
src/pages/NotFound.tsx,14,"<h1 class=\"mb-4 text-4xl font-bold\">404</h1>"
src/pages/Checkout.css,103,"font-size: 12px;"
src/pages/Checkout.css,115,"font-size: 16px;"
src/pages/Checkout.css,125,"font-size: 13px;"
src/pages/Checkout.css,144,"font-size: 14px;"
src/pages/Checkout.css,166,"font-size: 14px;"
src/pages/Checkout.css,215,"font-size: 16px;"
src/pages/Checkout.css,221,"font-size: 12px;"
src/pages/Checkout.css,227,"font-size: 12px;"
src/pages/Checkout.css,250,"font-size: 14px;"
src/pages/Checkout.css,326,"font-size: 12px;"
src/pages/Checkout.css,331,"font-size: 14px;"
src/pages/Checkout.css,350,"font-size: 14px;"
src/pages/Checkout.css,355,"font-size: 12px;"
src/pages/Checkout.css,390,"font-size: 13px;"
src/pages/Checkout.css,398,"font-size: 14px;"
src/pages/Checkout.css,404,"font-size: 16px;"
src/pages/Checkout.css,437,"font-size: 12px;"
src/pages/Checkout.css,443,"font-size: 12px;"
src/pages/Checkout.css,454,"font-size: 15px;"
src/pages/Checkout.css,490,"font-size: 12px;"
src/components/VariableProximity.css,4,"font-size: clamp(1.5rem, 5vw, 4rem);"
src/components/VariableProximity.css,9,"font-size: clamp(4rem, 12vw, 10rem);"
src/components/VariableProximity.css,62,"font-size: clamp(1.5rem, 4vw, 3rem);"
src/index.css,38,"width: clamp(180px, 20vw, 240px);"
src/index.css,20,"height: clamp(420px, 55vw, 600px);"
src/index.css,39,"height: clamp(260px, 32vw, 340px);"
src/components/FashionSidebar.tsx,110,"<h1 class=\"text-base tracking-[0.3em] ...\">TEENIQUE</h1>"
src/components/FashionSidebar.tsx,113,"<p class=\"text-[10px] tracking-[0.2em] ...\">"
src/components/FashionSidebar.tsx,72,"Sparkles class=\"... w-3 h-3 text-[#D9C6A4] ... top-1 right-1\""
